ID,etymologicallexicalsheetId,rootId,meaning,meaningUV,languageId,etymologicalorder,languageForm,CreatedDate
108,108,6,m/narkabtum مَرْكَبَةٌ,m/narkabtum مركبة,23,1,الأَكَّادِيَّةُ r-k-b,2024-09-10T13:34:53.643+03:00
109,109,6,rakābum )رَكِبَ، سَفِدَ (ذَكَرُ الحَيَوَانِ أُنْثَاه،) أَظْلَمَ (القَمَرُ الشَّمْسَ، حَرَثَ الأَرْضَ,rakbum )ركب، سفد (ذكر الحيوان انثاه،) اظلم (القمر الشمس، حرث الارض,23,1,الأَكَّادِيَّةُ r-k-b,2024-09-10T13:34:53.65+03:00
121,121,6,rkb )راكِب (وَصْفٌ لِلإِلٰهِ بَعْلٍ,rkb )راكب (وصف للاله بعل,28,2,الأُوغَارِيتِيَّةُ r-k-b,2024-09-10T13:34:53.747+03:00
122,122,6,rkb )رَكِبَ (مَرْكَبَةً,rkb )ركب (مركبة,28,2,الأُوغَارِيتِيَّةُ r-k-b,2024-09-10T13:34:53.75+03:00
123,123,6,רָכַב rāḵaḇ رَكِبَ، سَاقَ، طَلَعَ,ra ركب، ساق، طلع,29,3,العِبْرِيَّةُ r-k-b,2024-09-10T13:34:53.777+03:00
124,124,6,רַכָּב rakkāḇ رَاكِبٌ,rakk راكب,29,3,العِبْرِيَّةُ r-k-b,2024-09-10T13:34:53.78+03:00
125,125,6,רֶכֶב reḵeḇ مَرْكَبَةٌ، قِطَارٌ، حَجَرُ الرَّحَى,ree مركبة، قطار، حجر الرحى,29,3,العِبْرِيَّةُ r-k-b,2024-09-10T13:34:53.787+03:00
126,126,6,מַרְכַבְתָא markaḇtā مَرْكَبَةٌ، سَرْجٌ,markat مركبة، سرج,30,4,الآرَامِيَّةُ البَابِلِيَّةُ/ الفَلَسْطِينِيَّةُ r-k-b,2024-09-10T13:34:53.793+03:00
127,127,6,רכב rkb (رَكِبَ، فَرَضَ عَلَيْهِ، سَفِدَ (ذَكَرُ الحَيَوَانِ أُنْثَاهُ، لَقَّحَ نَخْلًا,rkb (ركب، فرض عليه، سفد (ذكر الحيوان انثاه، لقح نخلا,30,4,الآرَامِيَّةُ البَابِلِيَّةُ/ الفَلَسْطِينِيَّةُ r-k-b,2024-09-10T13:34:53.803+03:00
128,128,6,רכב rkb رَاكِبٌ، حَجَرُ الرَّحَى,rkb راكب، حجر الرحى,30,4,الآرَامِيَّةُ البَابِلِيَّةُ/ الفَلَسْطِينِيَّةُ r-k-b,2024-09-10T13:34:53.83+03:00
