ID,rootId,lemmaId,rootValue,lemmaValue,lemmaValueUV,lemmaTagValue,citation,meaning,meaningHead,authorName,source,additionalTag,DateHijri,DateSolar,headCitation,quranicReading,referenceSourceReadingQuran,referenceSourceReadingQuranStr,referenceSourceAyahNbr,referenceSourcePage,referenceSourcePart,referenceSourceHaditNbr,remarks,newFormValue,semanticFieldValue,quranic,ismeaning,issemantic,isnewform,istool,newformtype,MeaningCount,isContainCarving,isContainEtymological,isDeathDate,verbaldate,referencesourcelastseen,CreatedDate,remarksargument
231233,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],أَوْدَى ابْنُ كُلِّ مُخَاطِرٍ بِتِلَادِهِ***وَلِنَفْسِهِ بُقْيَا عَلَى الأَحْسَابِ الرَّاكِبِينَ مِنَ الأُمُورِ صُدُورَهَا*** لَا يَرْكَبُونَ مَعَاقِدَ الأَذْنَابِ,رَاكِبُ الأَمْرِ: مُقْتَحِمُهُ.,راكب الامر,أروى بنت الحباب,شاعرات العرب في الجاهلية والإسلام: جمعه ورتبه ووقف على طبعه: بشير يموت، المكتبة الأهلية- المطبعة الوطنية، بيروت، ط1، (1353هـ/ 1934م).,اسْمُ فَاعِل,-86,538,,,,,,105,,,,,,0,True,False,False,False,0,0,True,True,True,قبل 50ق.هـ=573م,,2024-09-15T10:35:53.347+03:00,التاريخ التقريبي لوفاة المستعمل هو: 86 ق.هـ = 538م
240229,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],"""خَرَجَ رَسُولُ اللهِ $s9 مُهَاجِرًا إِلَى المَدِينَةِ، فَجَعَلْتُ أَتَخَبَّرُ الأَخْبَارَ، حَتَّى جَاءَ رَكَبَةٌ مِنْ يَثْرِبَ، فَقُلْتُ: مَا هَذَا المَكِّيُّ الَّذِي أَتَاكُمْ؟""",,,أبو نَجيح السُّلَميّ (عمرو بن عَبَسَة),مسند الإمام أحمد ابن حنبل: أحمد ابن حَنْبَل (ت، 241هـ)، حققه وخرج أحاديثه وعلق عليه: شعيب الأرنؤوط وآخرون، مؤسسة الرسالة، بيروت، ط1، (1416هـ/ 1995م- 1421هـ/ 2001م).,اسْمُ فَاعِل,35,655,,,,,,237,28,,رَكَبَة: جمع راكِب مثل: كامِل وكَمَلَة، وكافِر وكَفَرَة.,رَكَبَة,,0,False,False,True,False,0,0,True,True,True,ن35هـ=655م,,2024-09-15T10:35:55.243+03:00,
250798,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],"""أَرَى السَّفِينَةَ لَا تَجْرِي فِي البَحْرِ إِلَّا بِالمَلَّاحِينَ... وَمَتَى شُحِنَتْ بِالرُّكَّابِ الكَثِيرِينَ، وَكَثُرَ مَلَّاحُوهَا، لَمْ يُؤْمَنْ عَلَيْهَا مِنَ الغَرَقِ""",,,ابن المُقفَّع (عبد الله بن المقفَّع),كتاب كليلة ودمنة: بيدبا، ترجمة: ابن المُقفَّع (ت، 142هـ)، المطبعة الأميرية، القاهرة، (1937م).,اسْمُ فَاعِل,142,759,,,,,,38,,,,رُكَّاب,,0,False,False,True,False,0,0,True,True,True,ن142هـ=759م,,2024-09-15T10:36:02.07+03:00,
250833,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],وَرَدْتُ، وَاللَّيْلُ لَهُ سُجُوفُ وَرَاكِبُ المِقْدَارِ وَالرَّدِيفُ أَفْنَى خُلُوفًا قَبْلَهَا خُلُوفُ,الرَّاكِبُ مِنَ النُّجُومِ: الطَّالِعُ مِنْهَا.,الراكب من النجوم,رؤبة بن العجّاج (رؤبة بن عبد الله التَّميميّ السَّعديّ),مجموع أشعار العرب وهو مشتمل على ديوان رؤبة بن العجاج وعلى أبيات مفردات منسوبة إليه: اعتنى بتصحيحه وترتيبه: وليم بن الورد البروسيّ، دار ابن قتيبة، الكويت، د.ت.,اسْمُ فَاعِل,145,762,,,,,,178,,,"في العين: ""وَقَوْلُ رُؤْبَةَ فِي مَطَالِعِ النُّجُومِ: وَرَاكِبُ المِقْدَارِ، وَالرَّدِيفُ. يَعْنِي بِالرَّاكِبِ: الطَّالِعُ، وَبِالرَّدِيفِ: النَّاظِرُ مِنَ النُّجُومِ. يُرِيدُ: رَاكِبٌ لِمَا أَمَامَهُ مِنَ النُّجُومِ""",,,0,True,False,False,False,0,0,True,True,True,ن145هـ=762م,,2024-09-15T10:36:02.07+03:00,
271311,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],فَلَيْتَ لِي بِهِمُ قَوْمًا إِذَا رَكِبُوا***شَدُّوا الإِغَارَةَ فُرْسَانًا وَرُكْبَانَا,,,قُريط بن أُنيف العَنْبريّ,شرح ديوان الحماسة: الخطيب التِّبْريزي (ت، 502هـ)، حققه وضبط غريبه وعلق حواشيه ووضع فهارسه: محمّد مُحيي الدِّين عبد الحميد، المكتبة التجارية الكبرى- مطبعة حجازي، القاهرة، (1938م).,اسْمُ فَاعِل,-86,538,,,,,,18,1,,,رُكْبَان,,0,False,False,True,False,0,0,True,True,True,قبل 50ق.هـ=573م,,2024-09-15T10:36:05.62+03:00,التاريخ التقريبي لوفاة المستعمل هو: 86 ق.هـ = 538م
277201,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],وَقَدْ تَعْلَمُ الخَنْسَاءُ أَنَّ فِرَاشَهَا*** لَمُجْلًى إِذَا مَا هَمَّ يَوْمًا بِرُكَّبِ,,,عمرة بنت مرداس السُّلَميّة (ابنة الخنساء),شاعرات العرب في الجاهلية والإسلام: جمعه ورتبه ووقف على طبعه: بشير يموت، المكتبة الأهلية- المطبعة الوطنية، بيروت، ط1، (1353هـ/ 1934م).,اسْمُ فَاعِل,48,668,,,,,,199,,,,رُكَّب,,0,False,False,True,False,0,0,True,True,True,ن48هـ=668م,,2024-09-15T10:36:06.763+03:00,
279338,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],بَلْ أَيُّهَا الرَّاكِبُ المُزْجِي عَلَى عَجَلٍ***نَحْوَ الجَزِيرَةِ مُرْتَادًا وَمُنْتَجَعَا أَبْلِغْ إِيَادًا، وَخَلِّلْ فِي سَرَاتِهِمِ***إِنِّي أَرَى الرَّأْيَ، إِنْ لَمْ أُعْصَ، قَدْ نَصَعَا,الرَّاكِبُ: الَّذِي يَمْتَطِي الدَّابَّةَ وَنَحْوَهَا، وَيَتَّخِذُهَا مَرْكَبًا لَهُ.,الراكب,لَقيط بن يَعْمُر الإياديّ,ديوان لقيط بن يَعمر: حققه وقدّم له: عبد المعيد خان، دار الأمانة- مؤسّسة الرسالة، بيروت، (1391هـ/ 1971م).,اسْمُ فَاعِل,-249,380,,,,,,76,,,,,,0,True,False,False,False,0,9,True,True,True,قبل 150ق.هـ=476م,,2024-09-15T10:36:07.087+03:00,التاريخ التقريبي لوفاة المستعمل هو: 249 ق.هـ = 380م
420143,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],"""قُلْتُ: أَرَأَيْتَ قَوْمًا صَلُّوا عَلَى الجَنَازَةِ، وَهُمْ رُكُوبٌ، أَوْ هُمْ قُعُودٌ؟ قَالَ: أَمَّا فِي القِيَاسِ؛ فَإِنَّهُ يُجْزِيهِمْ، وَلَكِنِّي أَدَعُ القِيَاسَ وَأَسْتَحْسِنُ، فَآمُرُهُمْ بِالإِعَادَةِ""",,,محمّد بن الحسن الشَّيبانيّ,الأصل: محمّد بن الحسن الشَّيبانيّ (ت، 189هـ)، تحقيق ودراسة: محمّد بوينوكالن، وزارة الأوقاف والشؤون الإسلامية، الدوحة، دار ابن حزم، بيروت، ط1، (1433هـ/ 2012م).,اسْمُ فَاعِل,182,798,,,,,,355,1,,لفظ الشاهد جمع رَاكِب، مثل: شاهِد وشُهُود.,رُكُوب,,0,False,False,True,False,0,0,True,True,False,182هـ=798م,,2024-09-15T10:36:34.197+03:00,تاريخ استعمال الشّاهد، مرتبط بـ (تاريخ وفاة المخاطَب بالسّؤال: أبي يوسف تلميذ أبي حنيفة).
420152,6,57125,ركب,رَاكِب,راكب,رَاكِب [اسْمُ فَاعِل],"""قَوْلُهُ: $Q1 لِيَفۡجُرَ أَمَامَهُۥ $Q2[القيامة: 5] قَالَ: يَمْضِي أَمَامَهُ رَاكِبًا رَأْسَهُ """,الرَّاكِبُ رَأْسَهُ: الَّذِي يَمْضِي عَلَى وَجْهِهِ بِغَيْرِ رَوِيَّةٍ، لَا يُطِيعُ مُرْشِدًا.,الراكب راسه,مجاهد بن جبر المكّيّ (المخزوميّ ولاءً),تفسير الطّبريّ جامع البيان عن تأويل آي القرآن: الطّبريّ (ت، 310هـ)، تحقيق: عبد الله بن عبد المحسن التركي، مركز البحوث والدراسات العربية والإسلامية، دار هجر، القاهرة، ط1، (1422هـ/ 2001م).,اسْمُ فَاعِل,104,722,,,,,,475,23,,"في تاج العروس (ركب): "" وفي الأساس: ومن المجاز: ركِبَ رأسَهُ: مضى على وجهه بغير رويَّة، لا يُطيع مرشدا"".",,,0,True,False,False,False,0,0,True,True,True,ن104هـ=722م,,2024-09-15T10:36:34.197+03:00,التّعريفُ مُقتَبس من: (تاج العروس (ركب).
226674,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],لَقَدْ أَيْقَنَتْ نَفْسُ الفَتَى غَيْرَ بَاطِلٍ***وَإِنْ عَاشَ حِينًا أَنَّهُ سَوْفَ يَهْلِكُ وَيَشْرَبُ بِالكَأْسِ الذُّعَافِ شَرَابَهَا*** وَيَرْكَبُ حَدَّ المَوْتِ كُرْهًا وَيَسْلُكُ,رَكِبَ المَوْتَ وَنَحْوَهُ: اقْتَحَمَهُ، وَأَلْقَى نَفْسَهُ فِيهِ.,ركب الموت ونحوه,منسوب إلى هند بنت الخُسّ الإياديّة,كتاب بلاغات النّساء وطرائف كلامهن وملح نوادرهن وأخبار ذوات الرأي منهن وأشعارهن في الجاهلية وصدر الإسلام: ابن طَيْفور البغداديّ (ت، 280هـ)، تحقيق: أحمد الألفي، مطبعة مدرسة والدة عباس الأول، القاهرة، (1326هـ/ 1908م).,مُتَعَدٍّ,-202,426,,,,,,63- 64,,,المعنى مجازي، ولكنه شائع جدا، وسياقاته كثيرة.,,,0,True,False,False,False,0,10,True,True,True,قبل 150ق.هـ=476م,,2024-09-15T10:35:52.443+03:00,من المحتمل أن التاريخ التقريبي لوفاة المستعمل هو: 202 ق.هـ = 426م
